MalzemeId;MalzemeKategoriId;MalzemeMarkaId;OlcuBirimiId;UrunAd;UrunKodu;Barkod;Resim;Tarih;OzelAlan;IslemiYapan;Aciklama;Ikaz;AlisFiyat;AlisParaBirimiId;SatisFiyat;SatisParaBirimiId;RafNo;
15828;90;NULL;17;TUZ;15827;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15829;91;NULL;2;YAÐ 10 NUMARA ;15828;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15830;91;NULL;2;YAÐ 10/40 MOTOR;15829;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15831;91;NULL;2;YAÐ 1330 NUMARA;15830;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15832;91;NULL;2;YAÐ 140 NUMARA ;15831;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15833;91;NULL;2;YAÐ 15/40 NUMARA ;15832;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15834;91;NULL;2;YAÐ 2 ZAMANLI ;15833;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15835;91;NULL;2;YAÐ 20/50 NUMARALI ;15834;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15836;91;NULL;2;YAÐ 30 NUMARA ;15835;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15837;91;NULL;2;YAÐ 424 KOMPUROSÖR;15836;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15838;91;NULL;2;YAÐ 46 HÝDROLÝK ;15837;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15839;91;NULL;2;YAÐ 5/30 NUMARALI ;15838;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15840;91;NULL;2;YAÐ 68 HÝDROLÝK ;15839;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15841;91;NULL;2;YAÐ 80/90 NUMARALI ;15840;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
